id,title,subTitle,url,modelNumber,colourVariations,image,priceData,ratingCount,rating,isPrimeAvailable,wishlistEligible
KI7784,Y-3 PRO MODEL 3G Shoes,Y-3,https://www.adidas.com/us/y-3-pro-model-3g-shoes/KI7784.html,OPW11,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4e7659c052654cc6a21741de5715df73_9366/Y-3_PRO_MODEL_3G_Shoes_Black_KI7784_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 400, 'valueNoVat': 400}], 'isSoldOut': False}",-99,,,True
HP2381,DURAMO SL 10 Shoes,Men Performance,https://www.adidas.com/us/duramo-sl-10-shoes/HP2381.html,LWO08,"['HP2381', 'GW8336', 'GW8342', 'HQ4130']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3f96a20585744db19072af8f00725f97_9366/DURAMO_SL_10_Shoes_Grey_HP2381_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 65, 'valueNoVat': 65}], 'isSoldOut': False}",3655,4.6105,,True
KH6667,Y-3 F50 AOP Shoes,Y-3,https://www.adidas.com/us/y-3-f50-aop-shoes/KH6667.html,OQZ34,"['KH6667', 'KH6855']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ccd55de0760c4619957cd2690794fed7_9366/Y-3_F50_AOP_Shoes_Black_KH6667_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 330, 'valueNoVat': 330}], 'isSoldOut': False}",-99,,,True
KI6879,Y-3 ADIOS 9 Shoes,Men Y-3,https://www.adidas.com/us/y-3-adios-9-shoes/KI6879.html,OTJ39,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9f0908632a3e4359a432facf235ddecc_9366/Y-3_ADIOS_9_Shoes_Black_KI6879_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 280, 'valueNoVat': 280}], 'isSoldOut': False}",10,5.0,,True
KI4766,ADIZERO EVO SL EXO Shoes,Men Performance,https://www.adidas.com/us/adizero-evo-sl-exo-shoes/KI4766.html,OSE14,"['KI4766', 'KI4765']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/05a21fa84b7243db9815392453ddb30c_9366/ADIZERO_EVO_SL_EXO_Shoes_Grey_KI4766_HM1.jpg","{'prices': [{'type': 'sale', 'value': 128, 'valueNoVat': 128}, {'type': 'original', 'value': 150, 'valueNoVat': 150, 'discountPercentage': -10}], 'isSoldOut': False}",779,4.6676,,True
ID1362,Campus Vulc Shoes,Originals,https://www.adidas.com/us/campus-vulc-shoes/ID1362.html,NIW97,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ddad365acd3645f4aa16d6c527c61bcf_9366/Campus_Vulc_Shoes_Grey_ID1362_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 54, 'valueNoVat': 54}, {'type': 'original', 'value': 90, 'valueNoVat': 90, 'discountPercentage': -40}], 'isSoldOut': False}",172,4.721,,True
KJ3102,ADIZERO EVO SL EXO Shoes,Men Performance,https://www.adidas.com/us/adizero-evo-sl-exo-shoes/KJ3102.html,SLEXO1,"['KJ3102', 'KI4763', 'KI4764', 'KJ0422', 'KJ0424', 'KJ0425', 'KJ0428', 'KJ0429', 'KJ0430', 'KJ0431', 'LA5900']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/747803226eed4212b7bd638964c2888e_9366/ADIZERO_EVO_SL_EXO_Shoes_Green_KJ3102_HM1.jpg","{'prices': [{'type': 'original', 'value': 150, 'valueNoVat': 150}], 'isSoldOut': False}",85,4.6589,,True
HQ7541,SAMBA ADV Shoes,Originals,https://www.adidas.com/us/samba-adv-shoes/HQ7541.html,LRW49,"['HQ7541', 'GZ8477', 'HQ5680', 'IE3100', 'KI5089', 'KJ0262', 'KJ0263', 'KJ0264', 'KJ0265']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cbbe01d9a1be4c29bcd96354cc1d4a46_9366/SAMBA_ADV_Shoes_Grey_HQ7541_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 100, 'valueNoVat': 100}], 'isSoldOut': False}",1128,4.7208,True,True
IH9650,GAZELLE INDOOR SHOES,Originals,https://www.adidas.com/us/gazelle-indoor-shoes/IH9650.html,GAZU1223,"['IH9650', 'IH9640', 'IH9641', 'IH9651', 'IH9654', 'IH9659', 'IH9660', 'IH9661', 'IH9665', 'IH9666', 'IH9675', 'IH9679', 'IH9680', 'JI2060', 'JI2061', 'JI2062', 'JI2063']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d26fd46d6435433ba020df0e7cd0e4e3_9366/GAZELLE_INDOOR_SHOES_Blue_IH9650_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 65, 'valueNoVat': 65}, {'type': 'original', 'value': 130, 'valueNoVat': 130, 'discountPercentage': -50}], 'isSoldOut': False}",947,4.8058,,True
HQ7551,ADISTAR XLG 2.0 SHOES,Originals,https://www.adidas.com/us/adistar-xlg-2.0-shoes/HQ7551.html,ORC52,"['HQ7551', 'HQ7468', 'HQ7552', 'HQ7553', 'HQ7554', 'HQ7555', 'KI4505', 'KI4506', 'KJ7895', 'KK2895', 'KK2896', 'KK2899', 'KK2900', 'KZ9011', 'KZ9155', 'KZ9160', 'LA1813']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/715ba779b4104750a2e542ea24a4fee7_9366/ADISTAR_XLG_2.0_SHOES_Green_HQ7551_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 75, 'valueNoVat': 75}, {'type': 'original', 'value': 150, 'valueNoVat': 150, 'discountPercentage': -50}], 'isSoldOut': False}",273,4.7473,True,True
KH8875,Terrex Anylander Leather Mid Climaproof Hiking Shoes,Men TERREX,https://www.adidas.com/us/terrex-anylander-leather-mid-climaproof-hiking-shoes/KH8875.html,ORY89,"['KH8875', 'KH8876', 'KH8877', 'KH8878']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bf25ede367444b92901839647f057d8d_9366/Terrex_Anylander_Leather_Mid_Climaproof_Hiking_Shoes_Black_KH8875_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 100, 'valueNoVat': 100}], 'isSoldOut': False}",41,4.7805,,True
KI7091,Y-3 FIELD Shoes,Y-3,https://www.adidas.com/us/y-3-field-shoes/KI7091.html,OSL54,"['KI7091', 'HP9980', 'KH7274', 'KI2671', 'KI2674', 'KI7112', 'KZ9051']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/726b7ae2f17542839524c33a909af5d7_9366/Y-3_FIELD_Shoes_White_KI7091_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 281, 'valueNoVat': 281}, {'type': 'original', 'value': 330, 'valueNoVat': 330, 'discountPercentage': -10}], 'isSoldOut': False}",31,4.6452,,True
IH6617,HANDBALL SPEZIAL SHOES,Originals,https://www.adidas.com/us/handball-spezial-shoes/IH6617.html,BTP23,"['IH6617', 'BD7632', 'BD7633', 'DB3021', 'IF7086', 'IF7087', 'IG6191', 'IG6192', 'IH6506', 'IH6507', 'IH6508', 'IH6568', 'IH6569', 'IH6586', 'IH6588', 'IH6592', 'IH6594', 'IH6597', 'IH6598', 'IH6618', 'IH9668', 'IH9672', 'IH9760', 'KH9051', 'KI8580', 'KI8685', 'KI8686', 'KI8687', 'KJ2399', 'KJ2401', 'KJ7413', 'KJ7414', 'KJ7415', 'KJ9876', 'KJ9883', 'KJ9884', 'KJ9956', 'KJ9957', 'KJ9958', 'KJ9962', 'KJ9963', 'KJ9964', 'KJ9968', 'KJ9969', 'KJ9974', 'KJ9975', 'KK1153', 'KK2692', 'KK2693', 'KK2694', 'KK4232', 'KK4242', 'KK4860', 'KK4867', 'KZ6702', 'KZ6703', 'KZ6704', 'KZ6705', 'KZ6706', 'KZ6707', 'KZ6712']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d66cf38fe02a4f509b5506fc977901ac_9366/HANDBALL_SPEZIAL_SHOES_Brown_IH6617_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 65, 'valueNoVat': 65}, {'type': 'original', 'value': 130, 'valueNoVat': 130, 'discountPercentage': -50}], 'isSoldOut': False}",9789,4.8179,True,True
KJ2866,Duramo Speed 2 Running Shoes,Men Performance,https://www.adidas.com/us/duramo-speed-2-running-shoes/KJ2866.html,NKL71,"['KJ2866', 'IH8201', 'IH8206', 'JP9223', 'KJ2867']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/19ca6612717941c48130c15bf0509519_9366/Duramo_Speed_2_Running_Shoes_Black_KJ2866_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 68, 'valueNoVat': 68}, {'type': 'original', 'value': 90, 'valueNoVat': 90, 'discountPercentage': -20}], 'isSoldOut': False}",572,4.6067,,True
